"value" "x" "y"
"324" 324 5250000 4450000
"325" 325 5350000 4450000
"345" 345 4050000 4350000
"346" 346 4150000 4350000
"347" 347 4250000 4350000
"348" 348 4350000 4350000
"349" 349 4450000 4350000
"350" 350 4550000 4350000
"351" 351 4650000 4350000
"352" 352 4750000 4350000
"354" 354 4950000 4350000
"355" 355 5050000 4350000
"356" 356 5150000 4350000
"357" 357 5250000 4350000
"358" 358 5350000 4350000
"378" 378 4050000 4250000
"379" 379 4150000 4250000
"380" 380 4250000 4250000
"381" 381 4350000 4250000
"382" 382 4450000 4250000
"383" 383 4550000 4250000
"384" 384 4650000 4250000
"385" 385 4750000 4250000
"387" 387 4950000 4250000
"388" 388 5050000 4250000
"389" 389 5150000 4250000
"390" 390 5250000 4250000
"411" 411 4050000 4150000
"412" 412 4150000 4150000
"413" 413 4250000 4150000
"414" 414 4350000 4150000
"415" 415 4450000 4150000
"416" 416 4550000 4150000
"417" 417 4650000 4150000
"418" 418 4750000 4150000
"419" 419 4850000 4150000
"420" 420 4950000 4150000
"421" 421 5050000 4150000
"422" 422 5150000 4150000
"423" 423 5250000 4150000
"424" 424 5350000 4150000
"437" 437 3350000 4050000
"438" 438 3450000 4050000
"439" 439 3550000 4050000
"444" 444 4050000 4050000
"445" 445 4150000 4050000
"446" 446 4250000 4050000
"447" 447 4350000 4050000
"448" 448 4450000 4050000
"449" 449 4550000 4050000
"450" 450 4650000 4050000
"451" 451 4750000 4050000
"452" 452 4850000 4050000
"454" 454 5050000 4050000
"455" 455 5150000 4050000
"456" 456 5250000 4050000
"457" 457 5350000 4050000
"469" 469 3250000 3950000
"470" 470 3350000 3950000
"471" 471 3450000 3950000
"472" 472 3550000 3950000
"473" 473 3650000 3950000
"477" 477 4050000 3950000
"478" 478 4150000 3950000
"479" 479 4250000 3950000
"480" 480 4350000 3950000
"481" 481 4450000 3950000
"482" 482 4550000 3950000
"483" 483 4650000 3950000
"484" 484 4750000 3950000
"485" 485 4850000 3950000
"487" 487 5050000 3950000
"488" 488 5150000 3950000
"489" 489 5250000 3950000
"490" 490 5350000 3950000
"503" 503 3350000 3850000
"504" 504 3450000 3850000
"505" 505 3550000 3850000
"506" 506 3650000 3850000
"511" 511 4150000 3850000
"512" 512 4250000 3850000
"513" 513 4350000 3850000
"514" 514 4450000 3850000
"515" 515 4550000 3850000
"516" 516 4650000 3850000
"517" 517 4750000 3850000
"518" 518 4850000 3850000
"519" 519 4950000 3850000
"520" 520 5050000 3850000
"521" 521 5150000 3850000
"522" 522 5250000 3850000
"523" 523 5350000 3850000
"524" 524 5450000 3850000
"525" 525 5550000 3850000
"535" 535 3250000 3750000
"536" 536 3350000 3750000
"537" 537 3450000 3750000
"538" 538 3550000 3750000
"545" 545 4250000 3750000
"546" 546 4350000 3750000
"547" 547 4450000 3750000
"548" 548 4550000 3750000
"549" 549 4650000 3750000
"550" 550 4750000 3750000
"551" 551 4850000 3750000
"552" 552 4950000 3750000
"553" 553 5050000 3750000
"554" 554 5150000 3750000
"555" 555 5250000 3750000
"556" 556 5350000 3750000
"557" 557 5450000 3750000
"558" 558 5550000 3750000
"559" 559 5650000 3750000
"566" 566 3050000 3650000
"567" 567 3150000 3650000
"568" 568 3250000 3650000
"569" 569 3350000 3650000
"570" 570 3450000 3650000
"571" 571 3550000 3650000
"578" 578 4250000 3650000
"579" 579 4350000 3650000
"580" 580 4450000 3650000
"581" 581 4550000 3650000
"582" 582 4650000 3650000
"586" 586 5050000 3650000
"587" 587 5150000 3650000
"588" 588 5250000 3650000
"589" 589 5350000 3650000
"590" 590 5450000 3650000
"591" 591 5550000 3650000
"592" 592 5650000 3650000
"593" 593 5750000 3650000
"599" 599 3050000 3550000
"600" 600 3150000 3550000
"601" 601 3250000 3550000
"603" 603 3450000 3550000
"604" 604 3550000 3550000
"605" 605 3650000 3550000
"611" 611 4250000 3550000
"612" 612 4350000 3550000
"613" 613 4450000 3550000
"614" 614 4550000 3550000
"615" 615 4650000 3550000
"616" 616 4750000 3550000
"617" 617 4850000 3550000
"618" 618 4950000 3550000
"619" 619 5050000 3550000
"620" 620 5150000 3550000
"621" 621 5250000 3550000
"622" 622 5350000 3550000
"623" 623 5450000 3550000
"624" 624 5550000 3550000
"625" 625 5650000 3550000
"626" 626 5750000 3550000
"631" 631 2950000 3450000
"632" 632 3050000 3450000
"633" 633 3150000 3450000
"634" 634 3250000 3450000
"635" 635 3350000 3450000
"636" 636 3450000 3450000
"637" 637 3550000 3450000
"638" 638 3650000 3450000
"644" 644 4250000 3450000
"645" 645 4350000 3450000
"646" 646 4450000 3450000
"647" 647 4550000 3450000
"648" 648 4650000 3450000
"649" 649 4750000 3450000
"650" 650 4850000 3450000
"651" 651 4950000 3450000
"652" 652 5050000 3450000
"653" 653 5150000 3450000
"654" 654 5250000 3450000
"655" 655 5350000 3450000
"656" 656 5450000 3450000
"657" 657 5550000 3450000
"658" 658 5650000 3450000
"659" 659 5750000 3450000
"664" 664 2950000 3350000
"665" 665 3050000 3350000
"666" 666 3150000 3350000
"667" 667 3250000 3350000
"668" 668 3350000 3350000
"669" 669 3450000 3350000
"670" 670 3550000 3350000
"671" 671 3650000 3350000
"672" 672 3750000 3350000
"674" 674 3950000 3350000
"675" 675 4050000 3350000
"676" 676 4150000 3350000
"677" 677 4250000 3350000
"678" 678 4350000 3350000
"679" 679 4450000 3350000
"680" 680 4550000 3350000
"681" 681 4650000 3350000
"682" 682 4750000 3350000
"683" 683 4850000 3350000
"684" 684 4950000 3350000
"685" 685 5050000 3350000
"686" 686 5150000 3350000
"687" 687 5250000 3350000
"688" 688 5350000 3350000
"689" 689 5450000 3350000
"690" 690 5550000 3350000
"691" 691 5650000 3350000
"692" 692 5750000 3350000
"700" 700 3250000 3250000
"701" 701 3350000 3250000
"702" 702 3450000 3250000
"703" 703 3550000 3250000
"704" 704 3650000 3250000
"705" 705 3750000 3250000
"707" 707 3950000 3250000
"708" 708 4050000 3250000
"709" 709 4150000 3250000
"710" 710 4250000 3250000
"711" 711 4350000 3250000
"712" 712 4450000 3250000
"713" 713 4550000 3250000
"714" 714 4650000 3250000
"715" 715 4750000 3250000
"716" 716 4850000 3250000
"717" 717 4950000 3250000
"718" 718 5050000 3250000
"719" 719 5150000 3250000
"720" 720 5250000 3250000
"733" 733 3250000 3150000
"734" 734 3350000 3150000
"735" 735 3450000 3150000
"736" 736 3550000 3150000
"737" 737 3650000 3150000
"738" 738 3750000 3150000
"739" 739 3850000 3150000
"740" 740 3950000 3150000
"741" 741 4050000 3150000
"742" 742 4150000 3150000
"743" 743 4250000 3150000
"744" 744 4350000 3150000
"745" 745 4450000 3150000
"746" 746 4550000 3150000
"747" 747 4650000 3150000
"748" 748 4750000 3150000
"749" 749 4850000 3150000
"750" 750 4950000 3150000
"751" 751 5050000 3150000
"752" 752 5150000 3150000
"753" 753 5250000 3150000
"768" 768 3450000 3050000
"769" 769 3550000 3050000
"770" 770 3650000 3050000
"771" 771 3750000 3050000
"772" 772 3850000 3050000
"773" 773 3950000 3050000
"774" 774 4050000 3050000
"775" 775 4150000 3050000
"776" 776 4250000 3050000
"777" 777 4350000 3050000
"778" 778 4450000 3050000
"779" 779 4550000 3050000
"780" 780 4650000 3050000
"781" 781 4750000 3050000
"782" 782 4850000 3050000
"783" 783 4950000 3050000
"784" 784 5050000 3050000
"785" 785 5150000 3050000
"786" 786 5250000 3050000
"799" 799 3250000 2950000
"800" 800 3350000 2950000
"801" 801 3450000 2950000
"802" 802 3550000 2950000
"803" 803 3650000 2950000
"804" 804 3750000 2950000
"805" 805 3850000 2950000
"806" 806 3950000 2950000
"807" 807 4050000 2950000
"808" 808 4150000 2950000
"809" 809 4250000 2950000
"810" 810 4350000 2950000
"811" 811 4450000 2950000
"812" 812 4550000 2950000
"813" 813 4650000 2950000
"814" 814 4750000 2950000
"815" 815 4850000 2950000
"816" 816 4950000 2950000
"817" 817 5050000 2950000
"818" 818 5150000 2950000
"819" 819 5250000 2950000
"822" 822 5550000 2950000
"823" 823 5650000 2950000
"824" 824 5750000 2950000
"832" 832 3250000 2850000
"833" 833 3350000 2850000
"834" 834 3450000 2850000
"835" 835 3550000 2850000
"836" 836 3650000 2850000
"837" 837 3750000 2850000
"838" 838 3850000 2850000
"839" 839 3950000 2850000
"840" 840 4050000 2850000
"841" 841 4150000 2850000
"842" 842 4250000 2850000
"843" 843 4350000 2850000
"844" 844 4450000 2850000
"845" 845 4550000 2850000
"846" 846 4650000 2850000
"847" 847 4750000 2850000
"848" 848 4850000 2850000
"849" 849 4950000 2850000
"850" 850 5050000 2850000
"851" 851 5150000 2850000
"852" 852 5250000 2850000
"853" 853 5350000 2850000
"854" 854 5450000 2850000
"855" 855 5550000 2850000
"856" 856 5650000 2850000
"857" 857 5750000 2850000
"866" 866 3350000 2750000
"867" 867 3450000 2750000
"868" 868 3550000 2750000
"869" 869 3650000 2750000
"870" 870 3750000 2750000
"871" 871 3850000 2750000
"872" 872 3950000 2750000
"873" 873 4050000 2750000
"874" 874 4150000 2750000
"875" 875 4250000 2750000
"876" 876 4350000 2750000
"877" 877 4450000 2750000
"878" 878 4550000 2750000
"879" 879 4650000 2750000
"880" 880 4750000 2750000
"881" 881 4850000 2750000
"882" 882 4950000 2750000
"883" 883 5050000 2750000
"884" 884 5150000 2750000
"885" 885 5250000 2750000
"886" 886 5350000 2750000
"887" 887 5450000 2750000
"888" 888 5550000 2750000
"889" 889 5650000 2750000
"890" 890 5750000 2750000
"900" 900 3450000 2650000
"901" 901 3550000 2650000
"902" 902 3650000 2650000
"903" 903 3750000 2650000
"904" 904 3850000 2650000
"905" 905 3950000 2650000
"906" 906 4050000 2650000
"907" 907 4150000 2650000
"908" 908 4250000 2650000
"909" 909 4350000 2650000
"910" 910 4450000 2650000
"911" 911 4550000 2650000
"912" 912 4650000 2650000
"913" 913 4750000 2650000
"914" 914 4850000 2650000
"915" 915 4950000 2650000
"916" 916 5050000 2650000
"917" 917 5150000 2650000
"918" 918 5250000 2650000
"919" 919 5350000 2650000
"920" 920 5450000 2650000
"921" 921 5550000 2650000
"922" 922 5650000 2650000
"923" 923 5750000 2650000
"924" 924 5850000 2650000
"933" 933 3450000 2550000
"934" 934 3550000 2550000
"935" 935 3650000 2550000
"936" 936 3750000 2550000
"937" 937 3850000 2550000
"938" 938 3950000 2550000
"939" 939 4050000 2550000
"940" 940 4150000 2550000
"941" 941 4250000 2550000
"942" 942 4350000 2550000
"943" 943 4450000 2550000
"944" 944 4550000 2550000
"945" 945 4650000 2550000
"946" 946 4750000 2550000
"947" 947 4850000 2550000
"948" 948 4950000 2550000
"949" 949 5050000 2550000
"950" 950 5150000 2550000
"951" 951 5250000 2550000
"952" 952 5350000 2550000
"953" 953 5450000 2550000
"954" 954 5550000 2550000
"955" 955 5650000 2550000
"956" 956 5750000 2550000
"959" 959 2750000 2450000
"960" 960 2850000 2450000
"961" 961 2950000 2450000
"962" 962 3050000 2450000
"966" 966 3450000 2450000
"967" 967 3550000 2450000
"968" 968 3650000 2450000
"969" 969 3750000 2450000
"970" 970 3850000 2450000
"971" 971 3950000 2450000
"972" 972 4050000 2450000
"973" 973 4150000 2450000
"974" 974 4250000 2450000
"975" 975 4350000 2450000
"976" 976 4450000 2450000
"977" 977 4550000 2450000
"978" 978 4650000 2450000
"979" 979 4750000 2450000
"980" 980 4850000 2450000
"981" 981 4950000 2450000
"982" 982 5050000 2450000
"984" 984 5250000 2450000
"985" 985 5350000 2450000
"986" 986 5450000 2450000
"987" 987 5550000 2450000
"988" 988 5650000 2450000
"989" 989 5750000 2450000
"990" 990 5850000 2450000
"992" 992 2750000 2350000
"993" 993 2850000 2350000
"994" 994 2950000 2350000
"995" 995 3050000 2350000
"996" 996 3150000 2350000
"997" 997 3250000 2350000
"998" 998 3350000 2350000
"999" 999 3450000 2350000
"1000" 1000 3550000 2350000
"1001" 1001 3650000 2350000
"1002" 1002 3750000 2350000
"1003" 1003 3850000 2350000
"1004" 1004 3950000 2350000
"1005" 1005 4050000 2350000
"1006" 1006 4150000 2350000
"1007" 1007 4250000 2350000
"1008" 1008 4350000 2350000
"1009" 1009 4450000 2350000
"1010" 1010 4550000 2350000
"1012" 1012 4750000 2350000
"1013" 1013 4850000 2350000
"1018" 1018 5350000 2350000
"1019" 1019 5450000 2350000
"1020" 1020 5550000 2350000
"1021" 1021 5650000 2350000
"1022" 1022 5750000 2350000
"1025" 1025 2750000 2250000
"1026" 1026 2850000 2250000
"1027" 1027 2950000 2250000
"1028" 1028 3050000 2250000
"1029" 1029 3150000 2250000
"1030" 1030 3250000 2250000
"1031" 1031 3350000 2250000
"1032" 1032 3450000 2250000
"1033" 1033 3550000 2250000
"1034" 1034 3650000 2250000
"1035" 1035 3750000 2250000
"1036" 1036 3850000 2250000
"1037" 1037 3950000 2250000
"1038" 1038 4050000 2250000
"1039" 1039 4150000 2250000
"1040" 1040 4250000 2250000
"1041" 1041 4350000 2250000
"1042" 1042 4450000 2250000
"1043" 1043 4550000 2250000
"1044" 1044 4650000 2250000
"1046" 1046 4850000 2250000
"1051" 1051 5350000 2250000
"1052" 1052 5450000 2250000
"1053" 1053 5550000 2250000
"1054" 1054 5650000 2250000
"1055" 1055 5750000 2250000
"1058" 1058 2750000 2150000
"1059" 1059 2850000 2150000
"1060" 1060 2950000 2150000
"1061" 1061 3050000 2150000
"1062" 1062 3150000 2150000
"1063" 1063 3250000 2150000
"1064" 1064 3350000 2150000
"1065" 1065 3450000 2150000
"1066" 1066 3550000 2150000
"1067" 1067 3650000 2150000
"1068" 1068 3750000 2150000
"1073" 1073 4250000 2150000
"1074" 1074 4350000 2150000
"1075" 1075 4450000 2150000
"1076" 1076 4550000 2150000
"1077" 1077 4650000 2150000
"1078" 1078 4750000 2150000
"1079" 1079 4850000 2150000
"1084" 1084 5350000 2150000
"1085" 1085 5450000 2150000
"1086" 1086 5550000 2150000
"1087" 1087 5650000 2150000
"1090" 1090 2650000 2050000
"1091" 1091 2750000 2050000
"1092" 1092 2850000 2050000
"1093" 1093 2950000 2050000
"1094" 1094 3050000 2050000
"1095" 1095 3150000 2050000
"1096" 1096 3250000 2050000
"1097" 1097 3350000 2050000
"1098" 1098 3450000 2050000
"1099" 1099 3550000 2050000
"1100" 1100 3650000 2050000
"1101" 1101 3750000 2050000
"1106" 1106 4250000 2050000
"1109" 1109 4550000 2050000
"1110" 1110 4650000 2050000
"1111" 1111 4750000 2050000
"1112" 1112 4850000 2050000
"1113" 1113 4950000 2050000
"1116" 1116 5250000 2050000
"1117" 1117 5350000 2050000
"1118" 1118 5450000 2050000
"1123" 1123 2650000 1950000
"1124" 1124 2750000 1950000
"1125" 1125 2850000 1950000
"1126" 1126 2950000 1950000
"1127" 1127 3050000 1950000
"1128" 1128 3150000 1950000
"1129" 1129 3250000 1950000
"1130" 1130 3350000 1950000
"1131" 1131 3450000 1950000
"1132" 1132 3550000 1950000
"1138" 1138 4150000 1950000
"1139" 1139 4250000 1950000
"1140" 1140 4350000 1950000
"1143" 1143 4650000 1950000
"1144" 1144 4750000 1950000
"1145" 1145 4850000 1950000
"1146" 1146 4950000 1950000
"1147" 1147 5050000 1950000
"1149" 1149 5250000 1950000
"1150" 1150 5350000 1950000
"1151" 1151 5450000 1950000
"1152" 1152 5550000 1950000
"1156" 1156 2650000 1850000
"1157" 1157 2750000 1850000
"1158" 1158 2850000 1850000
"1159" 1159 2950000 1850000
"1160" 1160 3050000 1850000
"1161" 1161 3150000 1850000
"1162" 1162 3250000 1850000
"1163" 1163 3350000 1850000
"1164" 1164 3450000 1850000
"1166" 1166 3650000 1850000
"1167" 1167 3750000 1850000
"1171" 1171 4150000 1850000
"1172" 1172 4250000 1850000
"1177" 1177 4750000 1850000
"1178" 1178 4850000 1850000
"1179" 1179 4950000 1850000
"1183" 1183 5350000 1850000
"1184" 1184 5450000 1850000
"1185" 1185 5550000 1850000
"1189" 1189 2650000 1750000
"1190" 1190 2750000 1750000
"1191" 1191 2850000 1750000
"1192" 1192 2950000 1750000
"1193" 1193 3050000 1750000
"1194" 1194 3150000 1750000
"1195" 1195 3250000 1750000
"1196" 1196 3350000 1750000
"1197" 1197 3450000 1750000
"1204" 1204 4150000 1750000
"1205" 1205 4250000 1750000
"1210" 1210 4750000 1750000
"1211" 1211 4850000 1750000
"1212" 1212 4950000 1750000
"1216" 1216 5350000 1750000
"1217" 1217 5450000 1750000
"1220" 1220 5750000 1750000
"1224" 1224 2850000 1650000
"1225" 1225 2950000 1650000
"1226" 1226 3050000 1650000
"1227" 1227 3150000 1650000
"1228" 1228 3250000 1650000
"1241" 1241 4550000 1650000
"1242" 1242 4650000 1650000
"1243" 1243 4750000 1650000
"1244" 1244 4850000 1650000
"1249" 1249 5350000 1650000
"1250" 1250 5450000 1650000
"1257" 1257 2850000 1550000
"1258" 1258 2950000 1550000
"1275" 1275 4650000 1550000
"1276" 1276 4750000 1550000
